startup_id,startup_name,hq_city,country,region,vertical,stage,founding_year,onboard_date,source,tier,archetype,description
S001,MedScribe AI,Paris,France,France,HealthTech,Series A,2022,2024-01-01,accelerator,growth,rocket,AI clinical note-taking. Uses Claude to transcribe and summarise patient consultations. Expanding from France into DACH.
S002,Eigen Technologies,London,UK,UK & Ireland,Document AI,Series B,2014,2024-04-01,vc_referral,growth,steady,Intelligent document processing for financial services. Migrating from in-house models to Claude for complex extraction. Established but conservative growth.
S003,BuilderKit,London,UK,UK & Ireland,No-Code/AI,Series B,2018,2024-06-01,vc_referral,growth,declining,AI-powered no-code app builder. Initially enthusiastic Claude adopter but struggled with cost management and shifted some workloads to open-source models.
S004,NovaMed AI,Tel Aviv,Israel,Middle East,HealthTech,Series B,2021,2024-01-01,accelerator,growth,star,"AI-powered clinical trial matching platform. Found product-market fit around month 6, raised Series A at month 10. Their core matching engine runs entirely on Claude."
S005,LegalLens,London,UK,UK & Ireland,LegalTech,Series A,2022,2024-01-01,vc_referral,growth,strong,Contract analysis and due diligence tool for law firms. Very consistent B2B usage patterns with strong retention.
S006,SupplyChainIQ,Amsterdam,Netherlands,Western Europe,Logistics,Series A,2022,2024-01-01,accelerator,growth,strong,Logistics optimisation using Claude for demand forecasting and route planning. Growth driven by landing large enterprise customers.
S007,TutorBot,Berlin,Germany,DACH,EdTech,Seed,2023,2024-01-01,application,standard,fine,AI tutoring assistant for secondary school students. Seasonal usage following European school calendar.
S008,CodeReview.ai,Dublin,Ireland,UK & Ireland,DevTools,Seed,2023,2024-01-01,application,standard,fine,Automated code review tool using Claude for explanations and suggestions. Steady but unspectacular usage.
S009,RetailPulse,Paris,France,France,Retail,Seed,2023,2024-01-01,application,standard,fine,Retail analytics and demand forecasting. Clear Q4 seasonal spikes around Black Friday.
S010,ChatAssist,Stockholm,Sweden,Nordics,SaaS,Seed,2023,2024-01-01,application,standard,fine,"Customer support chatbot running entirely on Haiku. Low cost, low growth, stable."
S011,DataClean,Zurich,Switzerland,DACH,Data,Seed,2023,2024-01-01,application,standard,fine,"Data cleaning and normalisation tool. Haiku-only, batch processing workload."
S012,SalesForge,Barcelona,Spain,Southern Europe,Marketing,Seed,2023,2024-01-01,application,standard,fine,"Sales email generation and personalisation. Sonnet-based, modest but consistent volume."
S013,DocuStream,Berlin,Germany,DACH,Document AI,Seed,2023,2024-01-01,application,standard,fine,Document automation for small businesses. Single developer maintaining a simple integration.
S014,PolicyPal,London,UK,UK & Ireland,InsurTech,Seed,2023,2024-01-01,vc_referral,standard,fine,"Insurance policy comparison and summarisation. Mostly Sonnet for quality, low volume."
S015,MenuMind,Paris,France,France,FoodTech,Seed,2023,2024-01-01,application,standard,fine,Restaurant menu optimisation and dietary analysis. Niche but stable usage.
S016,VoiceAI Labs,London,UK,UK & Ireland,Voice Tech,Series A,2021,2024-01-01,vc_referral,standard,declining,Voice transcription and analysis. Lost ground to Whisper and OpenAI. Model mix shifted to Haiku before volume declined.
S017,MarketingGPT,Amsterdam,Netherlands,Western Europe,Marketing,Seed,2023,2024-01-01,application,standard,declining,"Content generation for marketers. Space became commoditised, steady decline from early peak."
S018,FinBot Analytics,Zurich,Switzerland,DACH,FinTech,Seed,2022,2024-01-01,application,standard,declining,"Financial analysis chatbot. Regulatory concerns slowed roadmap, lost their primary customer."
S019,QuickDraft,Dublin,Ireland,UK & Ireland,Content,Seed,2023,2024-01-01,application,standard,churned,Content drafting tool. Active 8 months then cliff-edge churn — switched to a competitor.
S020,AIRecruiter,Stockholm,Sweden,Nordics,HR,Seed,2023,2024-01-01,application,standard,churned,AI-powered hiring and screening tool. Gradual decline over 4 months then zero. Deprioritised the AI feature.
S021,PropTech AI,Lagos,Nigeria,Africa,PropTech,Seed,2022,2024-01-01,accelerator,standard,churned,Real estate valuation and listing tool for African markets. Growing well for 10 months then sudden cliff — lost funding.
S022,NoteAI,Barcelona,Spain,Southern Europe,Productivity,Pre-Seed,2024,2024-01-01,application,standard,minimal,"Note-taking assistant. Made a handful of API calls, never built a real integration."
S023,GreenTech AI,Tel Aviv,Israel,Middle East,CleanTech,Pre-Seed,2024,2024-01-01,application,standard,minimal,"Sporadic testing by a solo founder. A few API calls every couple months, never shipped anything."
